timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592562554750,86,Home Page,200,,Scenario 1 1-1,text,true,,174,322,1,1,http://localhost:8080/api/v1/users,78,0,42
1592562554871,21,Home Page,200,,Scenario 1 1-2,text,true,,174,322,2,2,http://localhost:8080/api/v1/users,18,0,5
1592562555120,20,Home Page,200,,Scenario 1 1-3,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,18,0,6
1592562555370,13,Home Page,200,,Scenario 1 1-4,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,12,0,1
1592562555620,15,Home Page,200,,Scenario 1 1-5,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,14,0,3
1592562555858,10,Home Page,200,,Scenario 1 1-1,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,9,0,0
1592562555870,13,Home Page,200,,Scenario 1 1-6,text,true,,174,322,6,6,http://localhost:8080/api/v1/users,11,0,1
1592562555930,15,Home Page,200,,Scenario 1 1-2,text,true,,174,322,6,6,http://localhost:8080/api/v1/users,14,0,0
1592562556119,15,Home Page,200,,Scenario 1 1-7,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,14,0,2
1592562556207,13,Home Page,200,,Scenario 1 1-3,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,10,0,0
1592562556369,13,Home Page,200,,Scenario 1 1-8,text,true,,174,322,8,8,http://localhost:8080/api/v1/users,11,0,2
1592562556412,17,Home Page,200,,Scenario 1 1-4,text,true,,174,322,8,8,http://localhost:8080/api/v1/users,7,0,0
1592562556619,18,Home Page,200,,Scenario 1 1-9,text,true,,174,322,9,9,http://localhost:8080/api/v1/users,16,0,9
1592562556718,13,Home Page,200,,Scenario 1 1-5,text,true,,174,322,9,9,http://localhost:8080/api/v1/users,10,0,0
1592562556870,16,Home Page,200,,Scenario 1 1-10,text,true,,174,322,10,10,http://localhost:8080/api/v1/users,13,0,2
1592562556894,8,Home Page,200,,Scenario 1 1-1,text,true,,174,322,10,10,http://localhost:8080/api/v1/users,5,0,0
1592562556977,7,Home Page,200,,Scenario 1 1-6,text,true,,174,322,10,10,http://localhost:8080/api/v1/users,5,0,0
1592562557033,11,Home Page,200,,Scenario 1 1-2,text,true,,174,322,10,10,http://localhost:8080/api/v1/users,6,0,0
1592562557119,19,Home Page,200,,Scenario 1 1-11,text,true,,174,322,11,11,http://localhost:8080/api/v1/users,18,0,2
1592562557178,7,Home Page,200,,Scenario 1 1-7,text,true,,174,322,11,11,http://localhost:8080/api/v1/users,6,0,0
1592562557316,14,Home Page,200,,Scenario 1 1-3,text,true,,174,322,11,11,http://localhost:8080/api/v1/users,6,0,0
1592562557369,9,Home Page,200,,Scenario 1 1-12,text,true,,174,322,12,12,http://localhost:8080/api/v1/users,8,0,2
1592562557430,8,Home Page,200,,Scenario 1 1-4,text,true,,174,322,12,12,http://localhost:8080/api/v1/users,5,0,0
1592562557440,8,Home Page,200,,Scenario 1 1-8,text,true,,174,322,12,12,http://localhost:8080/api/v1/users,5,0,0
1592562557620,11,Home Page,200,,Scenario 1 1-13,text,true,,174,322,13,13,http://localhost:8080/api/v1/users,8,0,3
1592562557677,16,Home Page,200,,Scenario 1 1-9,text,true,,174,322,13,13,http://localhost:8080/api/v1/users,9,0,0
1592562557824,11,Home Page,200,,Scenario 1 1-5,text,true,,174,322,13,13,http://localhost:8080/api/v1/users,9,0,0
1592562557869,13,Home Page,200,,Scenario 1 1-14,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,12,0,3
1592562557895,9,Home Page,200,,Scenario 1 1-10,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,4,0,0
1592562557907,5,Home Page,200,,Scenario 1 1-1,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,3,0,0
1592562558064,10,Home Page,200,,Scenario 1 1-2,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,7,0,0
1592562558080,8,Home Page,200,,Scenario 1 1-6,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,6,0,0
1592562558121,6,Home Page,200,,Scenario 1 1-15,text,true,,174,322,15,15,http://localhost:8080/api/v1/users,5,0,1
1592562558154,9,Home Page,200,,Scenario 1 1-11,text,true,,174,322,15,15,http://localhost:8080/api/v1/users,5,0,0
1592562558215,10,Home Page,200,,Scenario 1 1-7,text,true,,174,322,15,15,http://localhost:8080/api/v1/users,6,0,0
1592562558369,16,Home Page,200,,Scenario 1 1-16,text,true,,174,322,16,16,http://localhost:8080/api/v1/users,14,0,11
1592562558405,14,Home Page,200,,Scenario 1 1-3,text,true,,174,322,16,16,http://localhost:8080/api/v1/users,13,0,0
1592562558427,10,Home Page,200,,Scenario 1 1-12,text,true,,174,322,16,16,http://localhost:8080/api/v1/users,4,0,0
1592562558459,7,Home Page,200,,Scenario 1 1-4,text,true,,174,322,16,16,http://localhost:8080/api/v1/users,4,0,0
1592562558527,7,Home Page,200,,Scenario 1 1-8,text,true,,174,322,16,16,http://localhost:8080/api/v1/users,5,0,0
1592562558619,15,Home Page,200,,Scenario 1 1-17,text,true,,174,322,17,17,http://localhost:8080/api/v1/users,13,0,2
1592562558696,12,Home Page,200,,Scenario 1 1-9,text,true,,174,322,17,17,http://localhost:8080/api/v1/users,5,0,0
1592562558692,18,Home Page,200,,Scenario 1 1-13,text,true,,174,322,17,17,http://localhost:8080/api/v1/users,12,0,0
1592562558869,12,Home Page,200,,Scenario 1 1-18,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,6,0,2
1592562558920,6,Home Page,200,,Scenario 1 1-14,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,4,0,0
1592562558911,16,Home Page,200,,Scenario 1 1-5,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,6,0,0
1592562558973,7,Home Page,200,,Scenario 1 1-1,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,5,0,0
