timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592568932688,128,Home Page,200,,Scenario 1 1-2,text,true,,174,322,6,6,http://localhost:8080/api/v1/users,117,0,67
1592568932718,101,Home Page,200,,Scenario 1 1-4,text,true,,174,322,6,6,http://localhost:8080/api/v1/users,92,0,37
1592568932743,93,Home Page,200,,Scenario 1 1-5,text,true,,174,322,6,6,http://localhost:8080/api/v1/users,61,0,2
1592568932792,44,Home Page,200,,Scenario 1 1-6,text,true,,174,322,6,6,http://localhost:8080/api/v1/users,44,0,3
1592568932690,147,Home Page,200,,Scenario 1 1-3,text,true,,174,322,6,6,http://localhost:8080/api/v1/users,128,0,76
1592568932690,147,Home Page,200,,Scenario 1 1-1,text,true,,174,322,6,6,http://localhost:8080/api/v1/users,121,0,48
1592568932842,11,Home Page,200,,Scenario 1 1-7,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,9,0,1
1592568932893,9,Home Page,200,,Scenario 1 1-8,text,true,,174,322,8,8,http://localhost:8080/api/v1/users,9,0,1
1592568932942,11,Home Page,200,,Scenario 1 1-9,text,true,,174,322,9,9,http://localhost:8080/api/v1/users,10,0,2
1592568932992,15,Home Page,200,,Scenario 1 1-10,text,true,,174,322,10,10,http://localhost:8080/api/v1/users,14,0,1
1592568933042,11,Home Page,200,,Scenario 1 1-11,text,true,,174,322,11,11,http://localhost:8080/api/v1/users,9,0,1
1592568933092,16,Home Page,200,,Scenario 1 1-12,text,true,,174,322,12,12,http://localhost:8080/api/v1/users,14,0,3
1592568933142,8,Home Page,200,,Scenario 1 1-13,text,true,,174,322,13,13,http://localhost:8080/api/v1/users,7,0,2
1592568933192,26,Home Page,200,,Scenario 1 1-14,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,10,0,4
1592568933242,11,Home Page,200,,Scenario 1 1-15,text,true,,174,322,15,15,http://localhost:8080/api/v1/users,11,0,2
1592568933292,14,Home Page,200,,Scenario 1 1-16,text,true,,174,322,16,16,http://localhost:8080/api/v1/users,13,0,2
1592568933342,12,Home Page,200,,Scenario 1 1-17,text,true,,174,322,17,17,http://localhost:8080/api/v1/users,11,0,3
1592568933393,13,Home Page,200,,Scenario 1 1-18,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,10,0,2
1592568933442,7,Home Page,200,,Scenario 1 1-19,text,true,,174,322,19,19,http://localhost:8080/api/v1/users,6,0,2
1592568933492,14,Home Page,200,,Scenario 1 1-20,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,8,0,1
1592568933542,9,Home Page,200,,Scenario 1 1-21,text,true,,174,322,21,21,http://localhost:8080/api/v1/users,7,0,1
1592568933592,13,Home Page,200,,Scenario 1 1-22,text,true,,174,322,22,22,http://localhost:8080/api/v1/users,12,0,7
1592568933642,8,Home Page,200,,Scenario 1 1-23,text,true,,174,322,23,23,http://localhost:8080/api/v1/users,6,0,1
1592568933692,14,Home Page,200,,Scenario 1 1-24,text,true,,174,322,24,24,http://localhost:8080/api/v1/users,12,0,5
