timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592562521211,83,Home Page,200,,Scenario 1 1-1,text,true,,174,322,1,1,http://localhost:8080/api/v1/users,81,0,41
1592562521314,13,Home Page,200,,Scenario 1 1-2,text,true,,174,322,2,2,http://localhost:8080/api/v1/users,11,0,1
1592562521563,19,Home Page,200,,Scenario 1 1-3,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,18,0,5
1592562521813,11,Home Page,200,,Scenario 1 1-4,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,10,0,1
1592562522063,14,Home Page,200,,Scenario 1 1-5,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,13,0,3
1592562522315,21,Home Page,200,,Scenario 1 1-1,text,true,,174,322,6,6,http://localhost:8080/api/v1/users,8,0,0
1592562522313,26,Home Page,200,,Scenario 1 1-6,text,true,,174,322,6,6,http://localhost:8080/api/v1/users,25,0,11
1592562522389,11,Home Page,200,,Scenario 1 1-2,text,true,,174,322,6,6,http://localhost:8080/api/v1/users,8,0,0
1592562522563,16,Home Page,200,,Scenario 1 1-7,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,15,0,5
1592562522603,11,Home Page,200,,Scenario 1 1-3,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,10,0,0
1592562522814,10,Home Page,200,,Scenario 1 1-8,text,true,,174,322,8,8,http://localhost:8080/api/v1/users,9,0,1
1592562522893,13,Home Page,200,,Scenario 1 1-4,text,true,,174,322,8,8,http://localhost:8080/api/v1/users,6,0,0
1592562523063,11,Home Page,200,,Scenario 1 1-9,text,true,,174,322,9,9,http://localhost:8080/api/v1/users,11,0,4
1592562523139,8,Home Page,200,,Scenario 1 1-5,text,true,,174,322,9,9,http://localhost:8080/api/v1/users,5,0,0
1592562523312,15,Home Page,200,,Scenario 1 1-10,text,true,,174,322,10,10,http://localhost:8080/api/v1/users,14,0,2
1592562523346,5,Home Page,200,,Scenario 1 1-1,text,true,,174,322,10,10,http://localhost:8080/api/v1/users,4,0,0
1592562523340,14,Home Page,200,,Scenario 1 1-6,text,true,,174,322,10,10,http://localhost:8080/api/v1/users,13,0,0
1592562523473,19,Home Page,200,,Scenario 1 1-2,text,true,,174,322,10,10,http://localhost:8080/api/v1/users,13,0,0
1592562523562,18,Home Page,200,,Scenario 1 1-11,text,true,,174,322,11,11,http://localhost:8080/api/v1/users,14,0,2
1592562523667,19,Home Page,200,,Scenario 1 1-3,text,true,,174,322,11,11,http://localhost:8080/api/v1/users,17,0,0
1592562523675,12,Home Page,200,,Scenario 1 1-7,text,true,,174,322,11,11,http://localhost:8080/api/v1/users,7,0,0
1592562523813,13,Home Page,200,,Scenario 1 1-12,text,true,,174,322,12,12,http://localhost:8080/api/v1/users,12,0,1
1592562523912,12,Home Page,200,,Scenario 1 1-8,text,true,,174,322,12,12,http://localhost:8080/api/v1/users,7,0,0
1592562524002,11,Home Page,200,,Scenario 1 1-4,text,true,,174,322,12,12,http://localhost:8080/api/v1/users,5,0,0
1592562524063,12,Home Page,200,,Scenario 1 1-13,text,true,,174,322,13,13,http://localhost:8080/api/v1/users,9,0,3
1592562524083,6,Home Page,200,,Scenario 1 1-9,text,true,,174,322,13,13,http://localhost:8080/api/v1/users,3,0,0
1592562524231,9,Home Page,200,,Scenario 1 1-5,text,true,,174,322,13,13,http://localhost:8080/api/v1/users,6,0,0
1592562524313,14,Home Page,200,,Scenario 1 1-14,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,12,0,3
1592562524334,10,Home Page,200,,Scenario 1 1-10,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,8,0,0
1592562524410,7,Home Page,200,,Scenario 1 1-6,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,5,0,0
1592562524421,9,Home Page,200,,Scenario 1 1-1,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,6,0,0
1592562524510,6,Home Page,200,,Scenario 1 1-2,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,5,0,0
1592562524563,8,Home Page,200,,Scenario 1 1-15,text,true,,174,322,15,15,http://localhost:8080/api/v1/users,5,0,1
1592562524643,11,Home Page,200,,Scenario 1 1-11,text,true,,174,322,15,15,http://localhost:8080/api/v1/users,11,0,0
1592562524717,10,Home Page,200,,Scenario 1 1-3,text,true,,174,322,15,15,http://localhost:8080/api/v1/users,6,0,0
1592562524732,6,Home Page,200,,Scenario 1 1-7,text,true,,174,322,15,15,http://localhost:8080/api/v1/users,3,0,0
1592562524812,20,Home Page,200,,Scenario 1 1-16,text,true,,174,322,16,16,http://localhost:8080/api/v1/users,8,0,1
1592562524880,12,Home Page,200,,Scenario 1 1-12,text,true,,174,322,16,16,http://localhost:8080/api/v1/users,9,0,0
1592562525007,13,Home Page,200,,Scenario 1 1-8,text,true,,174,322,16,16,http://localhost:8080/api/v1/users,12,0,0
1592562525064,8,Home Page,200,,Scenario 1 1-17,text,true,,174,322,17,17,http://localhost:8080/api/v1/users,6,0,2
1592562525113,12,Home Page,200,,Scenario 1 1-13,text,true,,174,322,17,17,http://localhost:8080/api/v1/users,4,0,0
1592562525108,17,Home Page,200,,Scenario 1 1-4,text,true,,174,322,17,17,http://localhost:8080/api/v1/users,4,0,0
1592562525180,8,Home Page,200,,Scenario 1 1-9,text,true,,174,322,17,17,http://localhost:8080/api/v1/users,6,0,0
1592562525322,3,Home Page,200,,Scenario 1 1-5,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,3,0,0
1592562525313,13,Home Page,200,,Scenario 1 1-18,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,4,0,1
1592562525399,5,Home Page,200,,Scenario 1 1-10,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,3,0,0
1592562525386,20,Home Page,200,,Scenario 1 1-14,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,4,0,0
1592562525463,6,Home Page,200,,Scenario 1 1-1,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,6,0,0
1592562525512,8,Home Page,200,,Scenario 1 1-6,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,5,0,0
1592562525563,9,Home Page,200,,Scenario 1 1-19,text,true,,174,322,19,19,http://localhost:8080/api/v1/users,6,0,2
1592562525603,5,Home Page,200,,Scenario 1 1-2,text,true,,174,322,19,19,http://localhost:8080/api/v1/users,4,0,0
1592562525599,17,Home Page,200,,Scenario 1 1-15,text,true,,174,322,19,19,http://localhost:8080/api/v1/users,10,0,0
1592562525733,10,Home Page,200,,Scenario 1 1-11,text,true,,174,322,19,19,http://localhost:8080/api/v1/users,6,0,0
1592562525761,10,Home Page,200,,Scenario 1 1-3,text,true,,174,322,19,19,http://localhost:8080/api/v1/users,7,0,0
1592562525785,7,Home Page,200,,Scenario 1 1-7,text,true,,174,322,19,19,http://localhost:8080/api/v1/users,4,0,0
1592562525812,11,Home Page,200,,Scenario 1 1-20,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,10,0,2
1592562525929,11,Home Page,200,,Scenario 1 1-16,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,9,0,0
1592562525984,10,Home Page,200,,Scenario 1 1-12,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,8,0,0
1592562526101,10,Home Page,200,,Scenario 1 1-8,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,7,0,0
1592562526145,5,Home Page,200,,Scenario 1 1-4,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,5,0,0
1592562526140,12,Home Page,200,,Scenario 1 1-17,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,9,0,0
1592562526166,4,Home Page,200,,Scenario 1 1-13,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,4,0,0
1592562526203,9,Home Page,200,,Scenario 1 1-9,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,4,0,0
1592562526352,12,Home Page,200,,Scenario 1 1-5,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,9,0,0
1592562526394,6,Home Page,200,,Scenario 1 1-18,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,4,0,0
1592562526453,7,Home Page,200,,Scenario 1 1-14,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,5,0,0
1592562526468,5,Home Page,200,,Scenario 1 1-10,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,5,0,0
1592562526545,16,Home Page,200,,Scenario 1 1-1,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,12,0,0
1592562526597,5,Home Page,200,,Scenario 1 1-6,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,3,0,0
1592562526622,7,Home Page,200,,Scenario 1 1-2,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,4,0,0
1592562526644,6,Home Page,200,,Scenario 1 1-19,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,6,0,0
1592562526654,8,Home Page,200,,Scenario 1 1-15,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,3,0,0
1592562526795,9,Home Page,200,,Scenario 1 1-7,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,4,0,0
1592562526810,5,Home Page,200,,Scenario 1 1-11,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,4,0,0
1592562526826,9,Home Page,200,,Scenario 1 1-3,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,5,0,0
1592562526909,7,Home Page,200,,Scenario 1 1-20,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,6,0,0
1592562526944,6,Home Page,200,,Scenario 1 1-16,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,5,0,0
1592562527089,10,Home Page,200,,Scenario 1 1-12,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,5,0,0
1592562527153,11,Home Page,200,,Scenario 1 1-8,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,6,0,0
1592562527178,9,Home Page,200,,Scenario 1 1-17,text,true,,174,322,20,20,http://localhost:8080/api/v1/users,7,0,0
