timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592566860015,136,Home Page,200,,Scenario 1 1-2,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,129,0,55
1592566860016,186,Home Page,200,,Scenario 1 1-1,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,186,0,73
1592566860011,190,Home Page,200,,Scenario 1 1-4,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,190,0,76
1592566860014,186,Home Page,200,,Scenario 1 1-3,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,186,0,73
1592566860119,80,Home Page,200,,Scenario 1 1-7,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,80,0,2
1592566860038,161,Home Page,200,,Scenario 1 1-5,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,161,0,51
1592566860068,80,Home Page,200,,Scenario 1 1-6,text,true,,174,322,7,7,http://localhost:8080/api/v1/users,76,0,7
1592566860203,34,Home Page,200,,Scenario 1 1-8,text,true,,174,322,9,9,http://localhost:8080/api/v1/users,32,0,2
1592566860218,24,Home Page,200,,Scenario 1 1-9,text,true,,174,322,9,9,http://localhost:8080/api/v1/users,21,0,1
1592566860268,21,Home Page,200,,Scenario 1 1-10,text,true,,174,322,10,10,http://localhost:8080/api/v1/users,19,0,3
1592566860319,24,Home Page,200,,Scenario 1 1-11,text,true,,174,322,11,11,http://localhost:8080/api/v1/users,16,0,2
1592566860369,17,Home Page,200,,Scenario 1 1-12,text,true,,174,322,12,12,http://localhost:8080/api/v1/users,15,0,2
1592566860419,14,Home Page,200,,Scenario 1 1-13,text,true,,174,322,13,13,http://localhost:8080/api/v1/users,13,0,3
1592566860468,20,Home Page,200,,Scenario 1 1-14,text,true,,174,322,14,14,http://localhost:8080/api/v1/users,17,0,4
1592566860524,20,Home Page,200,,Scenario 1 1-15,text,true,,174,322,15,15,http://localhost:8080/api/v1/users,19,0,1
1592566860568,24,Home Page,200,,Scenario 1 1-16,text,true,,174,322,16,16,http://localhost:8080/api/v1/users,23,0,3
1592566860619,17,Home Page,200,,Scenario 1 1-17,text,true,,174,322,17,17,http://localhost:8080/api/v1/users,15,0,2
1592566860668,17,Home Page,200,,Scenario 1 1-18,text,true,,174,322,18,18,http://localhost:8080/api/v1/users,14,0,3
