timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592559334545,83,Home Page,200,,Scenario 1 1-1,text,true,,174,322,1,1,http://localhost:8080/api/v1/users,76,0,41
1592559335425,19,Home Page,200,,Scenario 1 1-2,text,true,,174,322,2,2,http://localhost:8080/api/v1/users,18,0,1
1592559335713,17,Home Page,200,,Scenario 1 1-1,text,true,,174,322,2,2,http://localhost:8080/api/v1/users,9,0,0
1592559336424,18,Home Page,200,,Scenario 1 1-3,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,14,0,1
1592559336507,11,Home Page,200,,Scenario 1 1-2,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,7,0,0
1592559336770,14,Home Page,200,,Scenario 1 1-1,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,7,0,0
1592559337423,11,Home Page,200,,Scenario 1 1-4,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,9,0,2
1592559337517,14,Home Page,200,,Scenario 1 1-3,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,9,0,0
1592559337592,14,Home Page,200,,Scenario 1 1-2,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,12,0,0
1592559337871,13,Home Page,200,,Scenario 1 1-1,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,10,0,0
1592559338424,12,Home Page,200,,Scenario 1 1-5,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,9,0,3
1592559338519,9,Home Page,200,,Scenario 1 1-4,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,5,0,0
1592559338554,7,Home Page,200,,Scenario 1 1-3,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,4,0,0
1592559338609,10,Home Page,200,,Scenario 1 1-2,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,4,0,0
1592559338935,8,Home Page,200,,Scenario 1 1-1,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,7,0,0
1592559339500,8,Home Page,200,,Scenario 1 1-5,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,6,0,0
1592559339537,8,Home Page,200,,Scenario 1 1-4,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,4,0,0
1592559339587,16,Home Page,200,,Scenario 1 1-3,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,13,0,0
1592559339715,11,Home Page,200,,Scenario 1 1-2,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,7,0,0
1592559340592,9,Home Page,200,,Scenario 1 1-5,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,4,0,0
1592559340598,7,Home Page,200,,Scenario 1 1-4,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,6,0,0
1592559340635,7,Home Page,200,,Scenario 1 1-3,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,6,0,0
1592559341629,10,Home Page,200,,Scenario 1 1-5,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,5,0,0
1592559341705,9,Home Page,200,,Scenario 1 1-4,text,true,,174,322,2,2,http://localhost:8080/api/v1/users,5,0,0
1592559342704,7,Home Page,200,,Scenario 1 1-5,text,true,,174,322,2,2,http://localhost:8080/api/v1/users,5,0,0
