timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592558067339,79,Home Page,200,,Scenario 1 1-1,text,true,,174,322,1,1,http://localhost:8080/api/v1/users,72,0,48
1592558068204,14,Home Page,200,,Scenario 1 1-2,text,true,,174,322,2,2,http://localhost:8080/api/v1/users,13,0,1
1592558068507,12,Home Page,200,,Scenario 1 1-1,text,true,,174,322,2,2,http://localhost:8080/api/v1/users,10,0,0
1592558069203,15,Home Page,200,,Scenario 1 1-3,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,15,0,3
1592558069288,12,Home Page,200,,Scenario 1 1-2,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,6,0,0
1592558069560,11,Home Page,200,,Scenario 1 1-1,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,7,0,0
1592558070204,9,Home Page,200,,Scenario 1 1-4,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,8,0,1
1592558070253,7,Home Page,200,,Scenario 1 1-3,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,6,0,0
1592558070338,6,Home Page,200,,Scenario 1 1-2,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,5,0,0
1592558070582,16,Home Page,200,,Scenario 1 1-1,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,14,0,0
1592558071204,14,Home Page,200,,Scenario 1 1-5,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,11,0,5
1592558071276,6,Home Page,200,,Scenario 1 1-4,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,4,0,0
1592558071343,5,Home Page,200,,Scenario 1 1-3,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,4,0,0
1592558071358,5,Home Page,200,,Scenario 1 1-2,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,4,0,0
1592558071664,16,Home Page,200,,Scenario 1 1-1,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,12,0,0
1592558072318,9,Home Page,200,,Scenario 1 1-5,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,6,0,0
1592558072355,5,Home Page,200,,Scenario 1 1-4,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,4,0,0
1592558072430,11,Home Page,200,,Scenario 1 1-3,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,6,0,0
1592558072442,7,Home Page,200,,Scenario 1 1-2,text,true,,174,322,5,5,http://localhost:8080/api/v1/users,5,0,0
1592558073375,8,Home Page,200,,Scenario 1 1-4,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,5,0,0
1592558073414,10,Home Page,200,,Scenario 1 1-5,text,true,,174,322,4,4,http://localhost:8080/api/v1/users,5,0,0
1592558073497,8,Home Page,200,,Scenario 1 1-3,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,7,0,0
1592558074392,8,Home Page,200,,Scenario 1 1-4,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,7,0,0
1592558074515,13,Home Page,200,,Scenario 1 1-5,text,true,,174,322,3,3,http://localhost:8080/api/v1/users,6,0,0
1592558075618,11,Home Page,200,,Scenario 1 1-5,text,true,,174,322,1,1,http://localhost:8080/api/v1/users,6,0,0
